model_name,subgroup_dimension,subgroup_value,n,mae,median_absolute_error,rmse,actual_mean,predicted_mean,actual_sum,predicted_sum,actual_to_expected_ratio,calibration_error_abs
APR_DRG_SEVERITY_MEAN,hospital_key,42,85,2.379595610894412,2.0443213296398888,3.214899333117324,4.035294117647059,5.564699936172539,343.0,472.9994945746658,0.72515933723869,0.27484066276131003
APR_DRG_SEVERITY_MEAN,hospital_key,43,1086,3.2932293718062273,1.5626264670174017,7.674796081927965,5.04696132596685,5.494382750960652,5481.0,5966.899667543268,0.9185674815036188,0.08143251849638122
APR_DRG_SEVERITY_MEAN,hospital_key,44,12,1.8505117270316926,1.6422764227642275,2.2945318706868205,3.0833333333333335,4.251319565272932,37.0,51.01583478327519,0.7252650114848247,0.2747349885151753
APR_DRG_SEVERITY_MEAN,hospital_key,45,135,1.25958613906748,0.9839910268175793,1.772706084031956,2.8444444444444446,3.0544997914849277,384.0,412.35747185046523,0.9312308523883166,0.0687691476116834
APR_DRG_SEVERITY_MEAN,hospital_key,46,96,2.5419416737405736,2.0473739275999163,3.3069046525406036,3.25,5.234941737848881,312.0,502.5544068334926,0.6208283038763055,0.3791716961236945
APR_DRG_SEVERITY_MEAN,hospital_key,47,255,2.6804731289466184,1.7529411764705882,4.2432093039665855,4.325490196078431,5.4353544569863494,1103.0,1386.0153865315192,0.795806461254546,0.20419353874545398
APR_DRG_SEVERITY_MEAN,hospital_key,48,349,2.1806311247032895,1.0533333333333337,3.6809320143893367,3.6074498567335245,4.634846698027243,1259.0,1617.5614976115078,0.7783320769312574,0.2216679230687426
APR_DRG_SEVERITY_MEAN,hospital_key,49,85,2.1621993797111037,1.3491379310344827,3.5226302383809522,4.258823529411765,4.298526115418988,362.0,365.374719810614,0.9907636745849213,0.009236325415078683
APR_DRG_SEVERITY_MEAN,hospital_key,50,1994,2.9699117033736333,1.3021747352496218,7.185332708527626,5.180040120361083,4.717699339599449,10329.0,9407.092483161301,1.0980013238403805,0.09800132384038052
APR_DRG_SEVERITY_MEAN,hospital_key,51,3278,3.8805775078287827,1.8067570111048372,8.744282632033594,6.726052471018914,5.793375789084701,22048.0,18990.68583661965,1.1609901922280734,0.16099019222807343
APR_DRG_SEVERITY_MEAN,hospital_key,52,46,10.724580197998801,4.422680412371134,20.012301087052222,17.82608695652174,12.219547610129384,820.0,562.0991900659517,1.4588172594658757,0.4588172594658757
APR_DRG_SEVERITY_MEAN,hospital_key,53,4766,4.956035223778384,2.237373737373737,10.831520813435937,7.840327318506085,7.393197084703329,37367.0,35235.97730569606,1.0604786033268176,0.06047860332681765
APR_DRG_SEVERITY_MEAN,hospital_key,54,2294,3.7921224669422995,1.8611805555555554,7.4756296735542405,6.687445510026155,5.321853245105218,15341.0,12208.33134427137,1.256600887327538,0.25660088732753805
APR_DRG_SEVERITY_MEAN,hospital_key,55,28,8.358743513608063,7.638736817841296,9.947192517189242,16.0,10.893264008886744,448.0,305.0113922488288,1.4687975970239198,0.46879759702391977
APR_DRG_SEVERITY_MEAN,hospital_key,56,433,3.0258667247970705,1.7286476868327405,5.1261862025853,5.249422632794457,5.9693678137892725,2273.0,2584.736263370755,0.8793933958413925,0.12060660415860747
APR_DRG_SEVERITY_MEAN,hospital_key,57,689,3.6051853982197515,2.2948717948717956,5.522909485763798,7.638606676342525,7.003164922752048,5263.0,4825.180631776161,1.09073636857045,0.09073636857045009
APR_DRG_SEVERITY_MEAN,hospital_key,58,4328,2.835101609431356,1.659209761766415,5.21120260035627,4.145101663585952,5.418402915999227,17940.0,23450.847820444655,0.7650043246777521,0.23499567532224785
APR_DRG_SEVERITY_MEAN,hospital_key,59,1347,2.605477173167039,1.3037747153984434,4.734323723769468,5.539717891610987,5.426931668626133,7462.0,7310.076957639401,1.0207826871373538,0.02078268713735376
APR_DRG_SEVERITY_MEAN,hospital_key,60,1216,2.74851589888971,1.589156126891976,5.11762713297009,4.684210526315789,4.964102167762441,5696.0,6036.3482359991285,0.9436168652482001,0.0563831347517999
